
id,name,wikilink,counter,lang,botanist
1,Sansevieria,http://en.wikipedia.org/wiki/Sansevieria,18,en,
2,"Passiflora, Passion flower",http://en.wikipedia.org/wiki/Passiflora,87,en,
3,"Berberis julianae, Wintergreen barberry",http://en.wikipedia.org/wiki/Berberis_julianae,6,en,
4,"Euphorbia lathyris, Caper Spurge, Paper Spurge",http://en.wikipedia.org/wiki/Euphorbia_lathyris,59,en,
5,"Gerbera, African daisy",http://en.wikipedia.org/wiki/Gerbera,139,en,
6,Arum maculatum,http://en.wikipedia.org/wiki/Arum_maculatum,16,en,
7,Scirpus,http://en.wikipedia.org/wiki/Scirpus,1,en,
8,Euphrasia rostkoviana,http://en.wikipedia.org/wiki/Euphrasia_rostkoviana,3,en,
9,Calla,http://en.wikipedia.org/wiki/Calla,6,en,
10,Anagallis arvensis,http://en.wikipedia.org/wiki/Anagallis_arvensis,11,en,
11,"Hibiscus syriacus, Rose of Sharon",http://en.wikipedia.org/wiki/Hibiscus_syriacus,198,en,
12,"Canna, Canna lily",http://en.wikipedia.org/wiki/Canna_%28plant%29,59,en,
13,"Narcissus, Daffodil",http://en.wikipedia.org/wiki/Narcissus_%28plant%29,123,en,
14,Cyclamen,http://en.wikipedia.org/wiki/Cyclamen,16,en,
15,"Echinacea purpurea, Purple coneflower",http://en.wikipedia.org/wiki/Echinacea_purpurea,39,en,
16,"Hibiscus, rose mallow",http://en.wikipedia.org/wiki/Hibiscus,35,en,
17,"Impatiens glandulifera, Himalayan Balsam",http://en.wikipedia.org/wiki/Impatiens_glandulifera,28,en,
18,"Alcea, Hollyhock",http://en.wikipedia.org/wiki/Alcea,59,en,
19,"Hoya carnosa, Wax plant",http://en.wikipedia.org/wiki/Hoya_carnosa,64,en,
20,Cichorium,http://en.wikipedia.org/wiki/Cichorium,4,en,
21,Dipsacus laciniatus,http://en.wikipedia.org/wiki/Dipsacus_laciniatus,1,en,
22,"Impatiens, Touch-me-not, snapweed",http://en.wikipedia.org/wiki/Impatiens,8,en,
23,"Datura stramonium, Jimson weed",http://en.wikipedia.org/wiki/Datura_stramonium,96,en,
24,"Vinca minor, Lesser periwinkle",http://en.wikipedia.org/wiki/Vinca_minor,46,en,
25,Persicaria lapathifolia,http://en.wikipedia.org/wiki/Persicaria_lapathifolia,26,en,
26,"Strelitzia, bird of paradise flower",http://en.wikipedia.org/wiki/Strelitzia,35,en,
27,Opuntia ficus-indica,http://en.wikipedia.org/wiki/Opuntia_ficus-indica,3,en,
28,"Lantana camara, Common lantana",http://en.wikipedia.org/wiki/Lantana_camara,117,en,
29,"Digitalis purpurea, Purple foxglove",http://en.wikipedia.org/wiki/Digitalis_purpurea,38,en,
